Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00      36/36          void std::vector<Piece*, std::allocator<Piece*> >::_M_insert_aux<Piece*>(__gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&) [47]
                0.00    0.00      72/1006114     std::vector<Piece*, std::allocator<Piece*> >::begin() [41]
                0.00    0.00      36/36          __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator+(long) const [64]
                0.00    0.00      36/4173904     __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::__normal_iterator(Piece** const&) [20]
                0.00    0.00      29/2086873     std::vector<Piece*, std::allocator<Piece*> >::end() [31]
                0.00    0.00      36/36          decltype ((({parm#1}.base)())-(({parm#2}.base)())) __gnu_cxx::operator-<Piece* const*, Piece**, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&) [69]
                0.00    0.00      29/29          bool __gnu_cxx::operator==<Piece* const*, Piece**, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&) [70]
                0.00    0.00      36/180         Piece*&& std::forward<Piece*>(std::remove_reference<Piece*>::type&) [120]
                0.00    0.00      36/36          std::vector<Piece*, std::allocator<Piece*> >::cbegin() const [196]
                0.00    0.00      36/36          __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >::difference_type __gnu_cxx::operator-<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&) [194]
-----------------------------------------------
                0.00    0.00      36/36          __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > std::vector<Piece*, std::allocator<Piece*> >::emplace<Piece*>(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&) [46]
[47]     0.1    0.00    0.00      36         void std::vector<Piece*, std::allocator<Piece*> >::_M_insert_aux<Piece*>(__gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&) [47]
                0.00    0.00       7/16          void std::_Destroy<Piece**, Piece*>(Piece**, Piece**, std::allocator<Piece*>&) [39]
                0.00    0.00      43/74444084     __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::base() const [11]
                0.00    0.00       7/1006114     std::vector<Piece*, std::allocator<Piece*> >::begin() [41]
                0.00    0.00      29/37296838     __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator*() const [18]
                0.00    0.00       7/7           __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::difference_type __gnu_cxx::operator-<Piece**, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&) [71]
                0.00    0.00      36/36          decltype (_S_construct({parm#1}, {parm#2}, (forward<Piece*>)({parm#3}))) std::allocator_traits<std::allocator<Piece*> >::construct<Piece*, Piece*>(std::allocator<Piece*>&, Piece**, Piece*&&) [200]
                0.00    0.00      36/180         Piece*&& std::forward<Piece*>(std::remove_reference<Piece*>::type&) [120]
                0.00    0.00      29/65          std::remove_reference<Piece*&>::type&& std::move<Piece*&>(Piece*&) [175]
                0.00    0.00      29/29          Piece** std::move_backward<Piece**, Piece**>(Piece**, Piece**, Piece**) [210]
                0.00    0.00      21/37          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_get_Tp_allocator() [189]
                0.00    0.00      14/21          Piece** std::__uninitialized_move_if_noexcept_a<Piece**, Piece**, std::allocator<Piece*> >(Piece**, Piece**, Piece**, std::allocator<Piece*>&) [223]
                0.00    0.00       7/14          std::vector<Piece*, std::allocator<Piece*> >::_M_check_len(unsigned long, char const*) const [231]
                0.00    0.00       7/14          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_allocate(unsigned long) [232]
                0.00    0.00       7/16          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_deallocate(Piece**, unsigned long) [227]
-----------------------------------------------
                0.00    0.00       7/7           std::vector<Piece*, std::allocator<Piece*> >::push_back(Piece* const&) [27]
[48]     0.1    0.00    0.00       7         void std::vector<Piece*, std::allocator<Piece*> >::_M_emplace_back_aux<Piece* const&>(Piece* const&) [48]
                0.00    0.00       7/16          void std::_Destroy<Piece**, Piece*>(Piece**, Piece**, std::allocator<Piece*>&) [39]
                0.00    0.00       7/1080876     decltype (_S_construct({parm#1}, {parm#2}, (forward<Piece* const&>)({parm#3}))) std::allocator_traits<std::allocator<Piece*> >::construct<Piece*, Piece* const&>(std::allocator<Piece*>&, Piece**, Piece* const&) [28]
                0.00    0.00      14/37          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_get_Tp_allocator() [189]
                0.00    0.00       7/14          std::vector<Piece*, std::allocator<Piece*> >::_M_check_len(unsigned long, char const*) const [231]
                0.00    0.00       7/14          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_allocate(unsigned long) [232]
                0.00    0.00       7/3242635     Piece* const& std::forward<Piece* const&>(std::remove_reference<Piece* const&>::type&) [79]
                0.00    0.00       7/1080909     std::vector<Piece*, std::allocator<Piece*> >::size() const [85]
                0.00    0.00       7/21          Piece** std::__uninitialized_move_if_noexcept_a<Piece**, Piece**, std::allocator<Piece*> >(Piece**, Piece**, Piece**, std::allocator<Piece*>&) [223]
                0.00    0.00       7/16          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_deallocate(Piece**, unsigned long) [227]
-----------------------------------------------
                0.00    0.00       6/42          void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [53]
                0.00    0.00      36/42          parseFile(Table*, std::vector<Piece*, std::allocator<Piece*> >&, std::string) [7]
[49]     0.1    0.00    0.00      42         std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [49]
                0.00    0.00      42/78          int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) [44]
                0.00    0.00      42/340         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [99]
                0.00    0.00      42/42          __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&) [179]
                0.00    0.00      42/770         std::vector<int, std::allocator<int> >::size() const [93]
                0.00    0.00      42/44          std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [178]
                0.00    0.00      42/200         std::allocator<int>::~allocator() [119]
                0.00    0.00      42/570         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [95]
                0.00    0.00      42/78          std::vector<int, std::allocator<int> >::end() const [162]
                0.00    0.00      42/78          std::vector<int, std::allocator<int> >::begin() const [163]
-----------------------------------------------
                0.00    0.00 3242535/3242535     std::vector<int, std::allocator<int> >::back() [21]
[50]     0.1    0.00    0.00 3242535         std::vector<int, std::allocator<int> >::end() [50]
                0.00    0.00 3242535/6485070     __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [42]
-----------------------------------------------
                0.00    0.00      36/36          std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [9]
[51]     0.1    0.00    0.00      36         int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(unsigned long, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [51]
                0.00    0.00      36/78          int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) [44]
                0.00    0.00      36/211         std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [114]
                0.00    0.00      36/570         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [95]
-----------------------------------------------
                0.00    0.00       1/2           Table::algoCSP(std::vector<Piece*, std::allocator<Piece*> >&) [2]
                0.00    0.00       1/2           main [1]
[52]     0.0    0.00    0.00       2         std::vector<Piece*, std::allocator<Piece*> >::~vector() [52]
                0.00    0.00       2/16          void std::_Destroy<Piece**, Piece*>(Piece**, Piece**, std::allocator<Piece*>&) [39]
                0.00    0.00       2/37          std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_get_Tp_allocator() [189]
                0.00    0.00       2/2           std::_Vector_base<Piece*, std::allocator<Piece*> >::~_Vector_base() [280]
-----------------------------------------------
                0.00    0.00       6/6           std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [56]
[53]     0.0    0.00    0.00       6         void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [53]
                0.00    0.00       6/42          std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [49]
                0.00    0.00       6/6           std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&) [240]
                0.00    0.00       6/4323692     operator new(unsigned long, void*) [78]
-----------------------------------------------
                0.00    0.00       1/2           parseFile(Table*, std::vector<Piece*, std::allocator<Piece*> >&, std::string) [7]
                0.00    0.00       1/2           main [1]
[54]     0.0    0.00    0.00       2         Table::Table(int, int) [54]
                0.00    0.00       2/2           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long, std::vector<int, std::allocator<int> > const&) [55]
                0.00    0.00       2/2           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector() [292]
                0.00    0.00       2/78          std::allocator<int>::allocator() [164]
                0.00    0.00       2/2           std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [294]
                0.00    0.00       2/120         std::vector<int, std::allocator<int> >::~vector() [157]
                0.00    0.00       2/200         std::allocator<int>::~allocator() [119]
-----------------------------------------------
                0.00    0.00       2/2           Table::Table(int, int) [54]
[55]     0.0    0.00    0.00       2         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long, std::vector<int, std::allocator<int> > const&) [55]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [58]
                0.00    0.00       4/8           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [237]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() [342]
                0.00    0.00       1/1           __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator<std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, __gnu_cxx::__enable_if<std::__are_same<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>::__value, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__type> const&) [324]
-----------------------------------------------
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >* std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [59]
[56]     0.0    0.00    0.00       1         std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [56]
                0.00    0.00       6/6           void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [53]
                0.00    0.00       6/12          std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [235]
-----------------------------------------------
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [58]
[57]     0.0    0.00    0.00       1         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [57]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > >&) [60]
                0.00    0.00       4/9           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() [236]
                0.00    0.00       2/5           __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const [242]
                0.00    0.00       2/2           std::vector<int, std::allocator<int> >* std::__uninitialized_move_if_noexcept_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [300]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_check_len(unsigned long, char const*) const [329]
                0.00    0.00       1/3           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() [258]
                0.00    0.00       1/1           __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [326]
                0.00    0.00       1/1           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long) [331]
                0.00    0.00       1/4           void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [251]
                0.00    0.00       1/4           std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [247]
-----------------------------------------------
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long, std::vector<int, std::allocator<int> > const&) [55]
[58]     0.0    0.00    0.00       1         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [58]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [57]
                0.00    0.00       2/3           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() [258]
                0.00    0.00       2/2           __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator+(long) const [269]
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::cbegin() const [330]
                0.00    0.00       1/1           __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [325]
-----------------------------------------------
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > >&) [60]
[59]     0.0    0.00    0.00       1         std::vector<int, std::allocator<int> >* std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [59]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [56]
-----------------------------------------------
                0.00    0.00       1/1           std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [57]
[60]     0.0    0.00    0.00       1         std::vector<int, std::allocator<int> >* std::__uninitialized_fill_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&, std::allocator<std::vector<int, std::allocator<int> > >&) [60]
                0.00    0.00       1/1           std::vector<int, std::allocator<int> >* std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [59]
-----------------------------------------------
                0.00    0.00      37/37          parseFile(Table*, std::vector<Piece*, std::allocator<Piece*> >&, std::string) [7]
[61]     0.0    0.00    0.00      37         split(std::string const&, char) [61]
                0.00    0.00      37/37          split(std::string const&, char, std::vector<int, std::allocator<int> >&) [62]
                0.00    0.00      37/76          std::vector<int, std::allocator<int> >::vector() [173]
-----------------------------------------------
                0.00    0.00      37/37          split(std::string const&, char) [61]
[62]     0.0    0.00    0.00      37         split(std::string const&, char, std::vector<int, std::allocator<int> >&) [62]
                0.00    0.00     146/1081030     std::vector<int, std::allocator<int> >::push_back(int&&) [17]
                0.00    0.00     146/146         std::stoi(std::string const&, unsigned long*, int) [134]
                0.00    0.00      37/38          std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [188]
-----------------------------------------------
                0.00    0.00     123/123         void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&) [24]
[63]     0.0    0.00    0.00     123         void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int>(int&&) [63]
                0.00    0.00     123/1081030     decltype (_S_construct({parm#1}, {parm#2}, (forward<int>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&) [26]
                0.00    0.00     123/4324243     int&& std::forward<int>(std::remove_reference<int>::type&) [36]
                0.00    0.00     246/570         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [95]
                0.00    0.00     123/131         std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [146]
                0.00    0.00     123/211         std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [114]
                0.00    0.00     123/770         std::vector<int, std::allocator<int> >::size() const [93]
                0.00    0.00     123/131         int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [153]
                0.00    0.00     123/287         void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) [103]
                0.00    0.00     123/287         std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [101]
-----------------------------------------------
                0.00    0.00      36/36          __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > std::vector<Piece*, std::allocator<Piece*> >::emplace<Piece*>(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&) [46]
[64]     0.0    0.00    0.00      36         __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator+(long) const [64]
                0.00    0.00      36/4173904     __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::__normal_iterator(Piece** const&) [20]
-----------------------------------------------
                0.00    0.00       8/8           std::vector<int, std::allocator<int> >::push_back(int const&) [13]
[65]     0.0    0.00    0.00       8         void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&) [65]
                0.00    0.00       8/2161744     decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [14]
                0.00    0.00       8/6485240     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [23]
                0.00    0.00      16/570         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [95]
                0.00    0.00       8/131         std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [146]
                0.00    0.00       8/211         std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [114]
                0.00    0.00       8/770         std::vector<int, std::allocator<int> >::size() const [93]
                0.00    0.00       8/131         int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [153]
                0.00    0.00       8/287         void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) [103]
                0.00    0.00       8/287         std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [101]
-----------------------------------------------
                0.00    0.00      36/36          Table::showTable() [67]
[66]     0.0    0.00    0.00      36         Piece::to_string() [66]
                0.00    0.00     144/656816565     std::vector<int, std::allocator<int> >::operator[](unsigned long) [4]
                0.00    0.00     144/144         std::to_string(int) [144]
                0.00    0.00     108/113         std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*) [158]
                0.00    0.00     108/108         std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [159]
                0.00    0.00      36/36          std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [208]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[67]     0.0    0.00    0.00       1         Table::showTable() [67]
                0.00    0.00      36/36          Piece::to_string() [66]
-----------------------------------------------
                0.00    0.00      36/36          parseFile(Table*, std::vector<Piece*, std::allocator<Piece*> >&, std::string) [7]
[68]     0.0    0.00    0.00      36         __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >::__normal_iterator<Piece**>(__gnu_cxx::__normal_iterator<Piece**, __gnu_cxx::__enable_if<std::__are_same<Piece**, Piece**>::__value, std::vector<Piece*, std::allocator<Piece*> > >::__type> const&) [68]
                0.00    0.00      36/74444084     __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::base() const [11]
-----------------------------------------------
                0.00    0.00      36/36          __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > std::vector<Piece*, std::allocator<Piece*> >::emplace<Piece*>(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >, Piece*&&) [46]
[69]     0.0    0.00    0.00      36         decltype ((({parm#1}.base)())-(({parm#2}.base)())) __gnu_cxx::operator-<Piece* const*, Piece**, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&) [69]
                0.00    0.00      36/74444084     __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::base() const [11]
