Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.25     0.00  1081030     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      3.25     0.00  1080912     0.00     0.00  Piece::getRotation()
  0.00      3.25     0.00  1080909     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::size() const
  0.00      3.25     0.00  1080876     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIP5PieceE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.00      3.25     0.00  1080876     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::push_back(Piece* const&)
  0.00      3.25     0.00  1080845     0.00     0.00  void __gnu_cxx::new_allocator<Piece*>::destroy<Piece*>(Piece**)
  0.00      3.25     0.00  1080845     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator-(long) const
  0.00      3.25     0.00  1080845     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<Piece*> >::__destroy_helper<Piece*>::type>::value, void>::type std::allocator_traits<std::allocator<Piece*> >::_S_destroy<Piece*>(std::allocator<Piece*>&, Piece**)
  0.00      3.25     0.00  1080845     0.00     0.00  void std::allocator_traits<std::allocator<Piece*> >::destroy<Piece*>(std::allocator<Piece*>&, Piece**)
  0.00      3.25     0.00  1080845     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::back()
  0.00      3.25     0.00  1080845     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::pop_back()
  0.00      3.25     0.00  1006114     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::begin()
  0.00      3.25     0.00  1005999     0.00     0.00  Piece::setPlaced()
  0.00      3.25     0.00   641832     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      3.25     0.00      770     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      3.25     0.00      648     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      3.25     0.00      570     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.25     0.00      473     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      3.25     0.00      473     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      3.25     0.00      472     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      3.25     0.00      340     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      3.25     0.00      287     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.25     0.00      287     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.25     0.00      287     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.25     0.00      287     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      3.25     0.00      262     0.00     0.00  std::move_iterator<int*>::base() const
  0.00      3.25     0.00      262     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      3.25     0.00      262     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      3.25     0.00      262     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      3.25     0.00      262     0.00     0.00  unsigned long std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const, void>(std::allocator<int> const&, int)
  0.00      3.25     0.00      262     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      3.25     0.00      262     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00      3.25     0.00      262     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00      3.25     0.00      260     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      3.25     0.00      216     0.00     0.00  void std::swap<int*>(int*&, int*&)
  0.00      3.25     0.00      211     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.25     0.00      210     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      3.25     0.00      210     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      3.25     0.00      208     0.00     0.00  std::_Iter_base<Piece**, false>::_S_base(Piece**)
  0.00      3.25     0.00      200     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      3.25     0.00      200     0.00     0.00  std::allocator<int>::~allocator()
  0.00      3.25     0.00      180     0.00     0.00  Piece*&& std::forward<Piece*>(std::remove_reference<Piece*>::type&)
  0.00      3.25     0.00      174     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      3.25     0.00      174     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      3.25     0.00      158     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      3.25     0.00      158     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      3.25     0.00      156     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      3.25     0.00      156     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.25     0.00      156     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.25     0.00      156     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.25     0.00      156     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.25     0.00      156     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.25     0.00      150     0.00     0.00  std::_Niter_base<Piece**>::iterator_type std::__niter_base<Piece**>(Piece**)
